Patch,Plant_ID,Bract_Num,Bract_Total,Treatment,Pollen_Donor,PD_Covered,Poll_Date,Poll_Time,Coll_Date,Coll_Time,Damage,Num_Above_Tape,Style_Collected,Applier_Technique,Applier_Pollen,Killed,Closed_Date,Closed_Time,Notes
K1,798,2,4,ND,753,Y,2024-03-26,9:10,2024-03-28,13:34,0,9,Y,Ferne,Ferne,N,2024-03-28,13:36,
K2,742,5,6,ND,753,Y,2024-03-26,9:49,2024-03-28,13:58,N/A,1,Y,Ferne,Ferne,N,2024-03-28,14:00,Flower so eaten and bruised that damage cannot be assessed 
K1,735,5,6,ND,765,Y,2024-03-27,7:52,2024-03-28,13:52,0,,Y,Ferne,Ferne,N,2024-03-28,13:54,
K3,747,1,4,ND,768,N,2024-03-27,8:06,2024-03-28,14:05,0,,Y,Mike,Ferne,N,2024-03-28,14:08,
K1,733,4,4,NE,755,Y,2024-03-15,8:30,2024-03-16,15:10,2,1,Y,Mike,Ferne,N,2024-03-25,8:37,"Michael extracted nectar, Ferne pollinated the flower"
K1,735,2,4,NE,757,Y,2024-03-15,9:10,2024-03-16,15:14,1,2,Y,Mike,Ferne,N,2024-03-25,8:49,Had nectar remaining when collected
K1,736,7,7,NE,759,Y,2024-03-15,9:30,2024-03-16,15:17,2,0,Y,Mike,Ferne,N,2024-03-25,8:56,Had nectar remaining when collected and a hole in the back.
K1,738,5,7,NE,755,Y,2024-03-15,9:53,2024-03-16,15:22,1,2,Y,Mike,Ferne,N,2024-03-28,8:45,
K2,739,8,8,NE,757,Y,2024-03-15,10:15,2024-03-16,15:26,2,10,Y,Mike,Ferne,N,2024-03-25,9:32,Flower fell and was picked up - lots of damage
K1,732,7,7,NE,759,Y,2024-03-16,8:44,2024-03-17,15:34,0,8,Y,Mike,Ferne,N,2024-03-25,8:25,
K1,738,1,7,NE,761,Y,2024-03-16,9:24,2024-03-17,15:37,0,7,Y,Mike,Ferne,N,2024-03-28,8:39,
K2,741,2,4,NE,763,Y,2024-03-16,10:06,2024-03-17,15:52,0,13,Y,Mike,Ferne,N,2024-03-25,9:33,
K1,733,4,4,NE,758,Y,2024-03-18,8:05,2024-03-19,15:12,2,,Y,Ferne,Ferne,N,2024-03-25,8:37,Ants! Damaged :(
K1,735,2,5,NE,759,Y,2024-03-18,8:12,2024-03-19,15:13,2,,Y,Ferne,Ferne,N,2024-03-25,8:49,
K1,736,7,8,NE,N/A,N/A,2024-03-18,8:27,N/A,N/A,N/A,,N,Ferne,N/A,Y,2024-03-25,8:56,YFK
K1,738,5,6,NE,762,Y,2024-03-18,8:46,2024-03-19,15:02,2,,Y,Ferne,Ferne,N,2024-03-28,8:45,Ants on the flower on day 2
K2,739,8,8,NE,759,Y,2024-03-18,9:04,2024-03-19,14:57,1,,Y,Ferne,Ferne,N,2024-03-25,9:32,
K1,734,3,4,NE,759,Y,2024-03-19,9:40,2024-03-20,15:33,0,0,Y,Mike,Ferne,N,2024-03-25,8:45,Top of stigma looks black
K1,737,6,7,NE,764,Y,2024-03-19,9:56,2024-03-20,15:30,0,1,Y,Mike,Ferne,N,2024-03-25,9:12,
K1,738,1,7,NE,755,Y,2024-03-19,10:01,2024-03-20,15:28,0,,Y,Mike,Ferne,N,2024-03-28,8:39,
K2,741,2,4,NE,755,Y,2024-03-19,9:06,2024-03-20,15:44,0,,Y,Mike,Ferne,N,2024-03-25,9:33,
K2,742,3,4,NE,759,Y,2024-03-19,9:12,2024-03-20,15:42,0,1,Y,Mike,Ferne,N,2024-03-25,9:39,Flower fell off
K3,744,3,6,NE,764,Y,2024-03-19,8:38,2024-03-20,15:48,1,8,Y,Mike,Ferne,N,2024-03-28,8:59,Went in twice bc suction disconnected
K1,736,7,9,NE,758,Y,2024-03-20,9:20,2024-03-21,16:02,0,,Y,Mike,Ferne,N,2024-03-25,8:56,"Style eaten, collected in two halves"
K3,744,3,6,NE,765,Y,2024-03-20,9:40,2024-03-21,15:58,0,0,Y,Mike,Ferne,N,2024-03-28,8:59,
K3,749,1,3,NE,761,Y,2024-03-20,9:48,2024-03-21,15:58,1,0,Y,Mike,Ferne,N,2024-03-28,14:11,
K1,733,4,4,NE,753,Y,2024-03-21,8:22,2024-03-22,16:46,1,,Y,Ferne,Ferne,N,2024-03-25,8:37,
K1,734,3,4,NE,767,N,2024-03-21,8:33,2024-03-22,16:47,1,,Y,Mike,Ferne,N,2024-03-25,8:45,
